Date,Temperature
2019-11-08 10:59.08,0
2019-11-08 11:10.04,0
2019-11-08 11:10.06,0
2019-11-08 11:10.08,0
2019-11-08 11:10.10,423
2019-11-08 11:10.12,382
2019-11-08 11:10.14,382
2019-11-08 11:10.16,355
2019-11-08 11:10.25,0
2019-11-08 11:11.49,0
2019-11-08 11:11.57,0
2019-11-08 11:12.53,0
2019-11-08 11:12.55,0
2019-11-08 11:12.57,0
2019-11-08 11:12.59,423
2019-11-08 11:13.01,387
2019-11-08 11:13.03,387
2019-11-08 11:13.05,361
2019-11-08 11:13.07,341
2019-11-08 11:13.15,0
2019-11-08 11:13.17,447
2019-11-08 11:13.19,406
2019-11-08 11:13.21,377
2019-11-08 11:13.23,356
2019-11-08 11:13.25,340
2019-11-08 11:13.27,340
2019-11-08 11:13.29,331
2019-11-08 11:13.31,325
2019-11-08 11:13.33,321
2019-11-08 11:13.35,319
2019-11-08 11:13.37,318
2019-11-08 11:13.40,318
2019-11-08 11:13.42,316
2019-11-08 11:13.44,315
2019-11-08 11:13.46,314
2019-11-08 11:13.48,313
2019-11-08 11:13.50,313
2019-11-08 11:13.52,313
2019-11-08 11:13.54,311
2019-11-08 11:13.56,310
2019-11-08 11:13.58,308
2019-11-08 11:14.00,309
2019-11-08 11:15.49,0
2019-11-08 11:15.51,0
2019-11-08 11:15.53,0
2019-11-08 11:15.55,424
2019-11-08 11:15.57,389
2019-11-08 11:15.59,365
2019-11-08 11:16.01,348
2019-11-08 11:16.03,336
2019-11-08 11:16.05,336
2019-11-08 11:16.07,328
2019-11-08 11:16.09,324
2019-11-08 11:16.11,321
2019-11-08 11:16.13,319
2019-11-08 11:16.15,317
2019-11-08 11:16.17,317
2019-11-08 11:16.19,316
2019-11-08 11:16.22,315
2019-11-08 11:16.24,315
2019-11-08 11:16.26,314
2019-11-08 11:16.28,314
2019-11-08 11:16.30,314
2019-11-08 11:16.32,314
2019-11-08 11:16.34,312
2019-11-08 11:16.36,314
2019-11-08 11:16.38,315
2019-11-08 11:16.40,316
2019-11-08 11:16.42,316
2019-11-08 11:16.44,316
2019-11-08 11:16.46,317
2019-11-08 11:16.48,317
2019-11-08 11:16.50,317
2019-11-08 11:16.52,317
2019-11-08 11:16.54,317
2019-11-08 11:16.56,318
2019-11-08 11:16.58,318
2019-11-08 11:17.00,318
2019-11-08 11:17.02,318
2019-11-08 11:17.04,318
2019-11-08 11:17.06,319
2019-11-08 11:17.08,319
2019-11-08 11:17.10,318
2019-11-08 11:17.12,318
2019-11-08 11:18.39,0
2019-11-08 11:18.41,0
2019-11-08 11:19.33,0
2019-11-08 11:19.35,0
2019-11-08 11:19.37,0
2019-11-08 11:19.39,433
2019-11-08 11:19.41,394
2019-11-08 11:19.43,367
2019-11-08 11:19.45,367
2019-11-08 11:19.47,349
2019-11-08 11:19.49,336
2019-11-08 11:19.51,327
2019-11-08 11:19.53,321
2019-11-08 11:19.55,317
2019-11-08 11:19.57,317
2019-11-08 11:19.59,315
2019-11-08 11:20.01,313
2019-11-08 11:20.03,312
2019-11-08 11:20.05,311
2019-11-08 11:20.07,310
2019-11-08 11:20.09,310
2019-11-08 11:20.11,310
2019-11-08 11:20.14,309
2019-11-08 11:20.16,309
2019-11-08 11:20.18,308
2019-11-08 11:20.20,309
2019-11-08 11:20.22,309
2019-11-08 11:20.24,309
2019-11-08 11:20.26,309
2019-11-08 11:20.28,309
2019-11-08 11:20.30,310
2019-11-08 11:20.32,310
2019-11-08 11:20.34,310
2019-11-08 11:20.36,310
2019-11-08 11:20.38,309
2019-11-08 11:20.40,310
2019-11-08 11:20.42,310
2019-11-08 11:20.44,310
2019-11-08 11:20.46,310
2019-11-08 11:20.48,310
2019-11-08 11:20.50,310
2019-11-08 11:20.52,310
2019-11-08 11:20.54,311
2019-11-08 11:20.56,301
2019-11-08 11:20.58,300
2019-11-08 11:21.00,300
2019-11-08 11:21.02,172
2019-11-08 11:21.04,174
2019-11-08 11:21.06,236
2019-11-08 11:21.08,264
2019-11-08 11:33.29,0
2019-11-08 11:33.31,0
2019-11-08 11:33.33,0
2019-11-08 11:33.35,0
2019-11-08 11:33.37,0
2019-11-08 11:35.09,0
2019-11-08 11:38.16,0
2019-11-08 11:38.42,0
2019-11-08 11:40.00,0
2019-11-08 11:40.19,0
2019-11-08 11:43.01,0
2019-11-08 13:47.05,0
2019-11-08 13:49.09,0
